MESE;COD_DITT;UNI_FUNZ;FNM_g_2017;FEM_g_2017;FTM_g_2017;ASIA;ateco;FNM_p_2016;FEM_p_2016;FTM_p_2016
4;00013540H;0;78;40;118;2422844;143;1;1;2
1;00381551V;1;;;;220762;293;1;1;2
2;00381551V;1;;;;220762;293;1;1;2
3;00381551V;1;;;;220762;293;1;1;2
4;00381551V;1;;;;220762;293;1;1;2
5;00381551V;1;;;;220762;293;1;1;2
6;00381551V;1;;;;220762;293;1;1;2
7;00381551V;1;;;;220762;293;1;1;2
8;00381551V;1;;;;220762;293;1;1;2
9;00381551V;1;;;;220762;293;1;1;2
10;00381551V;1;;;;220762;293;1;1;2
11;00381551V;1;;;;220762;293;1;1;2
12;00381551V;1;;;;220762;293;1;1;2
1;00503768A;0;;;;20160553;331;1;1;2
2;00503768A;0;;;;20160553;331;1;1;2
3;00503768A;0;;;;20160553;331;1;1;2
4;00503768A;0;;;;20160553;331;1;1;2
5;00503768A;0;;;;20160553;331;1;1;2
6;00503768A;0;;;;20160553;331;1;1;2
7;00503768A;0;;;;20160553;331;1;1;2
8;00503768A;0;;;;20160553;331;1;1;2
9;00503768A;0;;;;20160553;331;1;1;2
10;00503768A;0;;;;20160553;331;1;1;2
11;00503768A;0;;;;20160553;331;1;1;2
12;00503768A;0;;;;20160553;331;1;1;2
8;00506137A;0;49;0;49;521215;257;2;2;4
4;00506998A;0;126;0;126;20129974;253;5;2;7
2;00505207A;0;131;639;770;58207;251;4;6;10
8;00501777A;0;46;47;93;290431;162;1;9;10
8;00506650A;0;87;7;94;10904481;279;6;5;11
3;00509522A;0;8934;8367;17301;28332546;282;2;10;12
3;00500245A;0;4;137;141;33146;322;9;4;13
8;00505645A;0;16;13;29;235659;256;1;12;13
8;00509357A;0;25;0;25;25440875;142;15;1;16
4;00506333A;0;3;1029;1032;669460;237;1;17;18
2;00500245A;0;116;1;117;33146;322;18;1;19
9;00509530A;0;77;0;77;28961328;272;12;7;19
1;00001466F;0;78;0;78;185768;254;9;10;19
8;00500617A;0;84;41;125;40558;259;3;16;19
8;00004420V;0;0;156;156;157382;310;5;16;21
8;00009452N;0;65;20;85;16305;245;19;4;23
8;00509124A;0;17;21;38;20088570;322;6;17;23
8;00032130U;0;1;115;116;72765;310;2;21;23
6;00006560Z;0;11;9898;9909;134846;282;2;22;24
8;00008732O;0;94;20;114;29693725;310;2;22;24
7;00506998A;0;58;0;58;20129974;253;18;7;25
1;00520179A;0;1;0;1;21398986;301;2;24;26
8;00507314A;0;234;123;357;24148053;152;15;12;27
8;00028878G;0;39;48;87;27713514;289;12;15;27
12;00508164A;0;95;27;122;238853;202;5;22;27
8;00507919A;0;74;7;81;98324;257;27;1;28
1;00038564O;0;945;365;1310;214217;232;22;6;28
8;00003615G;0;3;100;103;459254;329;1;28;29
8;00508973A;0;283;168;451;17834907;151;28;2;30
2;00509471A;0;1290;1001;2291;27371496;162;24;7;31
8;00507747A;0;69;14;83;37202;267;20;12;32
8;00500871A;0;218;10;228;70691;265;23;10;33
1;00509357A;0;61;0;61;25440875;142;31;3;34
8;00003300E;0;81;175;256;32906;310;3;31;34
8;00505337A;0;;;;98988;332;35;2;37
11;00505391A;0;6;6007;6013;118338;289;5;32;37
3;00509357A;0;47;0;47;25440875;142;35;3;38
11;00509357A;0;34;0;34;25440875;142;38;1;39
8;00508228A;0;22;1;23;277471;322;29;11;40
8;00505113A;0;30;54;84;36371;243;9;32;41
1;00505391A;0;12;123;135;118338;289;3;38;41
8;00505716A;0;3;0;3;266589;322;1;40;41
12;00509357A;0;43;0;43;25440875;142;41;1;42
2;00509074A;0;3;988;991;19180914;279;17;25;42
9;00509471A;0;132;5;137;27371496;162;16;26;42
8;00020350S;0;8;45;53;211680;256;16;27;43
1;00509102A;0;5;6;11;19658578;289;5;38;43
1;00508228A;0;56;6;62;277471;322;37;7;44
2;00520038A;0;17;130;147;203529;142;19;26;45
8;00520013A;0;7;20;27;76250;322;11;34;45
8;00029517C;0;111;4;115;337912;133;43;3;46
9;00507795A;0;256;0;256;51185;253;35;11;46
8;00002832L;0;43;6;49;38914;234;41;6;47
9;00066853E;0;34;21;55;2396108;289;25;22;47
10;00506164A;0;251;1742;1993;537842;257;10;37;47
8;00508567A;0;;;;535434;291;45;3;48
5;00007064R;0;140;91;231;334421;289;19;29;48
8;00509508A;0;41;245;286;27993305;256;3;45;48
10;00509723A;0;34;120;154;26434859;301;28;21;49
12;00501749A;0;521;5;526;27343894;259;36;14;50
1;00506164A;0;9;13;22;537842;257;2;48;50
8;00508906A;0;46;24;70;11035683;162;36;16;52
8;00005193S;0;17;124;141;29909157;274;30;22;52
4;00509700A;0;57;1124;1181;23806309;255;11;41;52
8;00017664Z;0;138;7;145;63490;310;3;50;53
5;00506117A;0;15;335;350;510994;257;16;38;54
2;00507832A;0;1100;0;1100;61150;256;1;53;54
8;00066853E;0;249;37;286;2396108;289;51;4;55
4;00024672O;0;;;;30285805;142;49;6;55
12;00520108A;0;35442;13370;48812;679330;91;40;15;55
8;00509471A;0;5;7;12;27371496;162;28;27;55
1;00520013A;0;12;65;77;76250;322;14;41;55
4;00509091A;0;9;83;92;19620859;322;5;50;55
8;00015689F;0;16;66;82;2640608;267;14;42;56
1;00509399A;0;107;0;107;26021434;310;25;32;57
8;00002377N;0;46;645;691;29526370;289;24;34;58
4;00520013A;0;16;55;71;76250;322;16;42;58
9;00520013A;0;51;27;78;76250;322;16;42;58
8;00003538Q;0;168;1815;1983;154786;310;15;43;58
8;00501772A;0;18;260;278;288768;321;15;43;58
2;00520179A;0;4;2;6;21398986;301;3;55;58
8;00061148E;0;112;716;828;58933;321;3;55;58
8;00502008A;0;97;0;97;368089;133;51;8;59
2;00508228A;0;70;6;76;277471;322;57;3;60
8;00507379A;0;68;0;68;25102554;329;57;3;60
3;00508332A;0;9;801;810;359549;282;10;50;60
8;00003273E;0;246;6030;6276;2246994;289;1;59;60
8;00509591A;0;175765;6106;181871;26786045;331;58;3;61
8;00508144A;0;144;79;223;227428;251;55;6;61
8;00508349A;0;87;111;198;372937;133;35;26;61
8;00287011M;0;39;24;63;335742;131;30;31;61
11;00506756A;0;170;13;183;15047177;152;56;6;62
9;00506604A;0;;;;6853923;289;32;31;63
4;00509357A;0;65;0;65;25440875;142;62;2;64
8;00004284Q;0;315;1;316;26430319;131;57;7;64
6;00509039A;0;12;145;157;18949074;322;7;57;64
12;00508228A;0;43;13;56;277471;322;61;4;65
8;00505280A;0;77;72;149;79108;282;52;13;65
8;00500851A;0;89;123;212;67970;234;33;32;65
3;00520013A;0;22;62;84;76250;322;14;51;65
8;00005176S;0;3;46;49;34342;132;9;56;65
8;00509091A;0;0;48;48;19620859;322;9;56;65
6;00520013A;0;35;52;87;76250;322;19;47;66
1;00509533A;0;240;347;587;29045148;252;1;65;66
8;00506550A;0;70;44;114;28332545;181;51;16;67
12;00003109Q;4;98;125;223;24159397;256;18;49;67
2;00509681A;0;55;1;56;19047036;331;67;1;68
3;00502077A;0;13;2058;2071;387335;289;47;21;68
2;00520013A;0;13;35;48;76250;322;22;46;68
5;00520013A;0;53;32;85;76250;322;22;46;68
4;00520108A;0;49421;10967;60388;679330;91;56;13;69
8;00002820C;0;24;120;144;4718;139;51;18;69
8;00508602A;0;19;214;233;569437;279;14;55;69
11;00506117A;0;5;239;244;510994;257;13;56;69
8;00508146A;0;75;12;87;228676;267;20;50;70
10;00520013A;0;36;95;131;76250;322;20;50;70
4;00501719A;0;651;616;1267;265932;253;30;41;71
1;00509039A;0;17;93;110;18949074;322;6;65;71
7;00509530A;0;4;0;4;28961328;272;4;67;71
2;00509357A;0;113;1;114;25440875;142;62;10;72
8;00501292A;0;51;4;55;147264;133;61;11;72
10;00502168A;0;42;5000;5042;30452995;282;18;54;72
2;00508450A;0;12;6260;6272;427434;291;5;67;72
1;00509475A;0;0;3998;3998;27489076;289;35;38;73
8;00500663A;0;100;57;157;43370;259;29;44;73
2;00509091A;0;23;86;109;19620859;322;10;63;73
8;00509039A;0;13;44;57;18949074;322;9;64;73
1;00509530A;0;4;0;4;28961328;272;6;67;73
8;00506637A;0;93;0;93;10794610;331;68;6;74
10;00506998A;0;43;0;43;20129974;253;67;7;74
5;00508228A;0;77;33;110;277471;322;66;8;74
8;00006826N;0;42;16;58;247533;132;53;21;74
8;00508108A;0;45;70;115;191830;331;44;30;74
5;00506225A;0;6;1029;1035;586424;282;40;35;75
6;00509091A;0;9;85;94;19620859;322;7;68;75
7;00508228A;0;78;4;82;277471;322;69;7;76
2;00506164A;0;3;106;109;537842;257;8;68;76
8;00509433A;0;107;63;170;26402104;133;72;5;77
3;00011612V;0;61;5206;5267;123461;321;43;34;77
8;00505055A;0;77;3;80;21096;237;77;1;78
9;00506285A;0;549;1;550;634503;331;77;1;78
6;00508204A;0;171;0;171;261604;91;34;44;78
11;00520013A;0;40;48;88;76250;322;29;49;78
6;00509700A;0;61;2364;2425;23806309;255;26;52;78
2;00509039A;0;43;62;105;18949074;322;26;52;78
6;00508632A;0;19;3204;3223;603513;282;20;58;78
6;00001466F;0;651;251;902;185768;254;75;4;79
8;00507215A;0;44;32;76;23249869;310;64;15;79
1;00509545A;0;102;2;104;29138288;120;35;44;79
10;00508228A;0;83;8;91;277471;322;72;8;80
8;00000732U;0;151;3656;3807;9779;301;71;10;81
10;00509530A;0;34;0;34;28961328;272;26;55;81
11;00508838A;0;181;221;402;3392350;324;81;1;82
8;00029047Q;0;67;112;179;154978;131;75;7;82
12;00520013A;0;15;51;66;76250;322;28;54;82
6;00509357A;0;136;0;136;25440875;142;82;1;83
4;00508228A;0;95;13;108;277471;322;75;8;83
7;00520013A;0;36;43;79;76250;322;31;52;83
8;00502979A;0;49;385;434;2680527;259;18;65;83
6;00028878G;0;60;1273;1333;27713514;289;77;7;84
3;00508228A;0;104;11;115;277471;322;73;11;84
3;00505368A;0;109;734;843;108697;282;60;25;85
4;00007064R;0;62;583;645;334421;289;24;61;85
8;00036059O;0;0;650;650;253110;289;4;81;85
8;00503746A;0;298;18;316;20115064;162;85;1;86
8;00001522O;0;353;0;353;164308;310;67;19;86
4;00520102A;0;110;1;111;656507;182;85;2;87
12;00506446A;0;445;11;456;2668905;331;79;8;87
12;00508692A;0;39;827;866;673713;310;1;86;87
1;00509591A;0;416;0;416;26786045;331;85;3;88
8;00011025E;0;124;0;124;133819;132;73;15;88
9;00006429B;0;97;400;497;649908;256;6;82;88
6;00508228A;0;62;11;73;277471;322;74;15;89
1;00505716A;0;2;149;151;266589;322;12;77;89
8;00507664A;0;47;69;116;698;259;49;41;90
5;00509530A;0;210;0;210;28961328;272;46;44;90
3;00505280A;0;52;517;569;79108;282;22;68;90
8;00500255A;0;1;110;111;2892810;322;16;74;90
7;00509091A;0;2;93;95;19620859;322;5;85;90
8;00020756Y;0;29;481;510;492864;332;24;67;91
3;00024672O;0;;;;30285805;142;15;76;91
8;00503131A;0;60;181;241;3337460;162;4;87;91
5;00509357A;0;132;1;133;25440875;142;91;1;92
8;00507968A;0;149;32;181;119633;256;90;2;92
1;00520102A;0;113;18;131;656507;182;81;11;92
9;00509091A;0;14;79;93;19620859;322;10;82;92
1;00509449A;0;36;31;67;27249696;264;69;24;93
10;00509091A;0;6;99;105;19620859;322;9;84;93
10;00505688A;0;98;2;100;256786;142;91;3;94
9;00508228A;0;73;30;103;277471;322;85;9;94
6;00506083A;0;79;96;175;484786;331;46;48;94
8;00500116A;0;82;109;191;3346056;284;15;79;94
12;00520102A;0;132;0;132;656507;182;91;4;95
1;00501100A;0;933;1;934;113410;279;83;12;95
8;00028928U;0;50;24;74;139000;139;43;52;95
4;00508927A;0;1100;3700;4800;12596222;257;35;60;95
2;00509545A;0;114;2;116;29138288;120;52;44;96
10;00028878G;0;96;783;879;27713514;289;25;71;96
8;00014305C;0;12;51;63;13830;245;3;93;96
3;00509091A;0;22;123;145;19620859;322;9;88;97
8;00004464S;0;127;83;210;34201;310;94;4;98
10;00509471A;0;;;;27371496;162;54;44;98
12;00509091A;0;7;62;69;19620859;322;9;89;98
9;00520102A;0;95;9;104;656507;182;85;14;99
8;00505608A;0;200;0;200;224087;162;70;29;99
3;00520038A;0;30;162;192;203529;142;31;68;99
11;00509039A;0;41;85;126;18949074;322;17;82;99
8;00003109Q;4;69;91;160;24159397;256;12;87;99
11;00505939A;0;0;107;107;397362;152;7;92;99
6;00502145A;0;135;10;145;407226;143;90;10;100
12;00066092F;0;211;32;243;101255;181;81;19;100
1;00505081A;0;7;2468;2475;27770;284;27;73;100
4;00509545A;0;105;25;130;29138288;120;82;19;101
4;00508960A;0;76;616;692;15030128;256;40;61;101
8;00007872A;0;27;75;102;2259765;162;14;87;101
8;00507828A;0;80;189;269;59799;222;6;95;101
4;00509616A;0;628;104;732;29395582;251;81;21;102
6;00500245A;0;64;90;154;33146;322;74;28;102
8;00016587C;0;145;23;168;56844;139;71;31;102
9;00010702R;0;7;1170;1177;42485;289;16;86;102
1;00005580A;0;7;628;635;245902;284;13;89;102
8;00007633F;0;185;195;380;33212;310;5;97;102
8;00502065A;0;109;53;162;384617;329;51;52;103
8;00504927A;0;78;204;282;25956080;265;20;83;103
1;00509091A;0;12;70;82;19620859;322;11;92;103
7;00032905F;0;1;936;937;3340262;152;1;102;103
9;00508373A;0;378;5;383;381430;251;19;85;104
1;00001236N;0;266;0;266;29870902;231;15;89;104
4;00506164A;0;7;737;744;537842;257;11;93;104
8;00508458A;0;210;486;696;435950;237;3;101;104
11;00508228A;0;58;9;67;277471;322;71;34;105
